tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*MAN,hair,d,n,FAT,9651040_9655820, ,NA
*MAN,face,d,n,FAT,9656940_9658890, ,NA
*MAN,cop,d,n,FAT,9661400_9662510, ,NA
*MAN,teeth,d,n,FAT,9661400_9662510, ,NA
*MAN,floor,d,n,FAT,9663580_9666420, ,NA
*MAN,cops,q,n,FAT,9669920_9672240, ,NA
*MAN,face,d,n,FAT,9689720_9690760, ,NA
*OLF,police+officer,d,n,FAT,9727350_9728290, ,NA
*MAN,beach,d,y,TVN,9799530_9800530, ,NA
*OLN,horn,d,n,TVN,9800530_9804370, ,NA
*MAN,computer,d,n,FAT,10068580_10071150, ,NA
*FAN,toy,d,n,MOT,10165740_10166940, ,NA
*OLN,bottle,q,n,MOT,10279120_10285900, ,NA
*CHN,bottle,q,n,MOT,10590320_10591260, ,NA
*FAN,bed,d,n,MOT,10762480_10763950, ,NA
*FAN,bottle,d,y,FAT,18147320_18148320, ,NA
*OLN,bottle,d,y,FAT,18149270_18151260, ,NA
*FAN,tripod,q,n,FAT,18246810_18247810, ,NA
*CXN,undies,d,y,BR2,18396730_18398140, ,NA
*MAN,Power+rangers,d,n,FAT,18504730_18506200, ,NA
*CXN,tummy,d,y,BR2,18852910_18856660, ,NA
*MAN,bottle,q,y,FAT,19792240_19793400, ,NA
*MAN,apple,q,y,FAT,20009240_20010240, ,NA
*FAN,apple,q,y,FAT,20011040_20012040, ,NA
*OLN,apple,q,y,FAT,20307990_20308790, ,NA
*FAN,outfit,q,n,FAT,20444200_20445240, ,NA
*CHN,ball,i,y,BR1,35711250_35712090, ,NA
*OLN,throat,i,n,MOT,35783310_35802820, ,NA
*OLN,hair,q,n,MOT,35984030_35988960, ,NA
*OLN,windows,d,n,BR1,36060340_36067790, ,NA
*OLN,school,d,n,FAT,36082290_36088680, ,NA
*OLN,dress,s,n,SI1,36089410_36103820, ,NA
*OLN,lips,s,n,SI1,36089410_36103820, ,NA
*OLN,cheeks,s,n,SI1,36089410_36103820, ,NA
*OLN,pants,d,n,MOT,36143030_36159220, ,NA
*OLN,school,q,n,BR2,36143030_36159220, ,NA
*FAN,cheese,d,n,MOT,39598520_39600860, ,NA
*CHN,cheese,d,n,MOT,39601660_39602950, ,NA
*CHN,crackers,d,n,MOT,39601660_39602950, ,NA
*CHN,cheese,d,n,MOT,39604270_39605290, ,NA
*OLN,crackers,d,n,MOT,39605290_39606570, ,NA
*TVN,eyes,d,y,MOT,39650150_39650950, ,NA
*OLN,hands,d,y,MOT,39886800_39887990, ,NA
*CHN,feet,d,y,MOT,39887990_39888590, ,NA
*OLN,laundry,d,n,MOT,39959360_39962040, ,NA
*FAN,baba,q,y,FAT,40081950_40082950, ,NA
*FAN,baba,q,y,FAT,40085270_40086270, ,NA
*OLN,ba,q,y,FAT,40146970_40148600, ,NA
*OLN,baba,n,y,FAT,40161860_40163950, ,NA
*OLN,baba,n,y,FAT,40161860_40163950, ,NA
*OLN,donkeys,n,n,FAT,40649580_40655700, ,NA
*FAN,baby,d,n,MOT,41015750_41016750, ,NA
*OLN,bed,i,y,FAT,41257940_41259530, ,NA
*OLN,bed,i,y,FAT,41268280_41269790, ,NA
*MAN,ball,i,y,FAT,41271070_41272070, ,NA
*MAN,baby,d,y,FAT,41300000_41301450, ,NA
