tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,raspberries,q,n,MOT,14591330_14592780, ,NA
*FAN,raspberries,d,n,MOT,14594120_14596930, ,NA
*CXN,basket,q,n,SIS,14741610_14744040, ,NA
*OLN,blueberries,q,n,AF1,15440450_15441670, ,NA
*FAN,raspberries,q,n,AF1,15441670_15443160, ,NA
*FAN,raspberries,d,n,MOT,15443160_15443770, ,NA
*FAN,raspberries,d,n,MOT,15450670_15452420, ,NA
*OLF,jam,d,n,AF1,15465520_15466490, ,NA
*FAN,jam,d,n,AF1,15518320_15523270, ,NA
*FAN,bread,d,n,AF1,15518320_15523270, ,NA
*FAN,bread,d,n,AF1,15518320_15523270, ,NA
*FAN,gift+cards,d,n,AF1,15524070_15531190, ,NA
*FAN,bread,d,n,MOT,15537210_15540080, ,NA
*FAN,blueberries,q,n,AF1,15627930_15630200, ,NA
*FAN,blueberries,q,n,AF1,15631970_15633060, ,NA
*SIL,raspberries,d,n,AF1,15638600_15639400, ,NA
*CXN,stroller,d,n,AF1,15645670_15646690, ,NA
*FAN,shoes,i,n,MOT,15965350_15966830, ,NA
*FAN,head,d,y,MOT,16049330_16050510, ,NA
*FAN,hair,d,y,MOT,16050510_16051110, ,NA
*FAN,hat,d,n,MOT,16051110_16052160, ,NA
*FAN,stroller,d,n,MOT,16058340_16059420, ,NA
*FAN,house,d,n,MOT,16329070_16330070, ,NA
*CHN,berries,d,n,MOT,16453560_16454150, ,NA
*FAN,basket,d,n,MOT,16568419_16569779, ,NA
*FAN,apples,d,n,MOT,16582000_16583000, ,NA
*CHN,shower,d,n,MOT,16698759_16700400, ,NA
*FAN,schools,d,n,MOT,16748770_16753169, ,NA
*OLN,library,d,n,MOT,16757300_16758520, ,NA
*FAN,canal,d,n,MOT,16758520_16767220, ,NA
*FAN,parks,d,n,MOT,16758520_16767220, ,NA
*FAN,railroad+tracks,d,n,MOT,16758520_16767220, ,NA
*FAN,doors,d,n,MOT,16775550_16777530, ,NA
*FAN,street,d,n,MOT,16792710_16795000, ,NA
*FAN,berries,i,n,MOT,16814070_16815650, ,NA
*FAN,berries,d,n,MOT,16816930_16819030, ,NA
*FAN,street,d,n,MOT,16824140_16825150, ,NA
*CHN,berries,d,n,MOT,16835380_16836380, ,NA
*OLN,farmers,n,n,MOT,16844960_16846120, ,NA
*FAN,boots,d,n,MOT,16864050_16866750, ,NA
*OLN,boots,d,n,MOT,16866750_16867900, ,NA
*FAN,house,d,n,MOT,16877340_16879530, ,NA
*FAN,car,d,n,MOT,16939900_16942500, ,NA
*FAN,garage,d,n,MOT,16939900_16942500, ,NA
*OLN,driveway,d,n,MOT,16947470_16948520, ,NA
*FAN,bikes,d,n,MOT,16950520_16953370, ,NA
*FAN,berries,i,n,MOT,16950520_16953370, ,NA
*FAN,house,q,n,MOT,16992100_16995990, ,NA
*CHN,school,d,n,MOT,17028110_17029040, ,NA
*FAN,basket,d,n,MOT,17031820_17033540, ,NA
*FAN,berry,d,n,MOT,17052650_17054740, ,NA
*CHN,apple,d,n,MOT,17056080_17056180, ,NA
*CHN,peach,d,n,MOT,17056280_17058170, ,NA
*FAN,berries,d,n,MOT,17098800_17100780, ,NA
*FAN,berry+patch,d,n,MOT,17232800_17235180, ,NA
*FAN,furniture,d,n,MOT,17242940_17246200, ,NA
*FAN,creek,d,n,MOT,17246810_17253630, ,NA
*OLN,street,d,n,MOT,17259770_17260620, ,NA
*FAN,church,d,n,MOT,17264100_17264700, ,NA
*CHN,blueberries,q,n,MOT,17275150_17277550, ,NA
*FAN,kiddy+pool,q,n,MOT,17305110_17308710, ,NA
*FAN,pool,q,n,MOT,17305110_17308710, ,NA
*FAN,floaties,d,n,MOT,17336060_17339050, ,NA
*FAN,baby+floaty,d,n,MOT,17340430_17342470, ,NA
*OLN,blueberries,d,n,MOT,17435080_17436200, ,NA
*FAN,container,d,n,MOT,17436200_17439060, ,NA
*FAN,raspberries,q,n,MOT,17439060_17439750, ,NA
*FAN,raspberries,q,n,MOT,17439750_17442300, ,NA
*FAN,blueberries,d,n,MOT,17439750_17442300, ,NA
*OLN,basket,d,n,MOT,17458970_17459770, ,NA
*CHN,basket,q,n,MOT,17459770_17460620, ,NA
*OLN,blueberries,d,n,MOT,17460620_17465400, ,NA
*FAN,raspberries,d,n,MOT,17467200_17469090, ,NA
*FAN,blueberries,d,n,MOT,17470940_17472080, ,NA
*FAN,basket,q,n,MOT,17476590_17477950, ,NA
*CHN,berry+bushes,d,n,MOT,17497930_17498780, ,NA
*FAN,house,d,n,MOT,17516170_17519580, ,NA
*FAN,dog,d,n,MOT,17516170_17519580, ,NA
*FAN,dog,d,n,MOT,17520390_17522610, ,NA
*FAN,dog,d,n,MOT,17527020_17528250, ,NA
*FAN,blueberries,d,n,MOT,17610440_17612060, ,NA
*FAN,raspberries,d,n,MOT,17613390_17616500, ,NA
*FAN,raspberry,d,n,ADF,17617110_17619540, ,NA
*OLN,containers,d,n,MOT,17620950_17621870, ,NA
*OLN,blueberries,d,n,MOT,17622470_17623900, ,NA
*FAN,blueberries,n,n,MOT,17630840_17631840, ,NA
*CHN,blueberries,d,n,MOT,17648650_17651740, ,NA
*CHN,cone,d,n,MOT,17651840_17652330, ,NA
*CHN,blueberries,d,n,MOT,17663130_17664150, ,NA
*FAN,containers,q,n,AF2,17681920_17682520, ,NA
*FAN,containers,d,n,MOT,17687970_17691280, ,NA
*FAN,blueberries,d,n,MOT,17709890_17711670, ,NA
*CHN,blueberries,q,n,MOT,17717020_17718550, ,NA
*CHN,cone,d,n,MOT,17725590_17727910, ,NA
*CHN,stroller,q,n,MOT,17734230_17736380, ,NA
*FAN,shoes,d,n,MOT,17748270_17749910, ,NA
*CHN,blueberries,d,n,MOT,17878320_17880200, ,NA
