tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*MAN,bug,n,y,MOT,4377920_4379340, ,NA
*MAN,bug,n,y,MOT,4377920_4379340, ,NA
*MAN,bug,n,y,MOT,4377920_4379340, ,NA
*MAN,bug,n,y,MOT,4377920_4379340, ,NA
*MAN,bug,q,y,MOT,4380940_4381950, ,NA
*FAN,bee,d,y,MOT,4381950_4383890, ,NA
*FAN,bumblebee,d,y,MOT,4381950_4383890, ,NA
*FAN,bee,n,y,MOT,4384760_4385860, ,NA
*OLN,coffee,d,n,MOT,4410210_4411540, ,NA
*FAN,bills,d,y,MOT,4415110_4416460, ,NA
*CXN,magazine,d,y,MOT,4422530_4423330, ,NA
*FAN,magazine,d,y,MOT,4424190_4425480, ,NA
*SIL,iPad,d,y,MOT,4434750_4435600, ,NA
*FAN,button,d,y,MOT,4471550_4472550, ,NA
*FAN,button,s,y,MOT,4480590_4481940, ,NA
*OLN,magazine,i,y,MOT,4492160_4493240, ,NA
*NOF,milk,q,n,MOT,4496030_4498330, ,NA
*FAN,milk,q,n,MOT,4498330_4499520, ,NA
*OLN,milk,q,y,MOT,4527600_4530970, ,NA
*OLN,paper,q,y,MOT,4527600_4530970, ,NA
*FAN,feet,q,y,MOT,4586440_4587570, ,NA
*FAN,belly,q,y,MOT,4790900_4791900, ,NA
*FAF,mosquito+bites,d,n,MOT,4797510_4798510, ,NA
*FAN,garbage,d,y,MOT,4904180_4905230, ,NA
*NOF,garbage,n,y,MOT,4905230_4906240, ,NA
*CHN,dog,n,y,CHI,5315010_5315370, ,NA
*OLN,dog,n,y,CHI,5316410_5317320, ,NA
*FAN,doggy,n,y,CHI,5318550_5319150, ,NA
*FAN,coffee,d,n,MOT,5495310_5496310, ,NA
*CXN,door,s,n,MOT,5552970_5553770, ,NA
*FAN,ball,q,n,MOT,5564260_5565270, ,NA
*FAN,ball,q,n,MOT,5566270_5567550, ,NA
*TVN,ball,q,n,MOT,5577450_5578450, ,NA
*OLF,poopy,q,n,MOT,5842640_5843860, ,NA
*CHN,ball,d,y,MOT,6043850_6044730, ,NA
*FAN,ball,q,y,MOT,6048920_6051250, ,NA
*FAN,ball,q,y,MOT,6048920_6051250, ,NA
*OLN,ball,q,y,MOT,6052440_6053610, ,NA
*FAN,blinds,d,y,MOT,6104340_6105340, ,NA
*OLN,birdies,n,n,MOT,6107170_6108120, ,NA
*FAN,thermometer,q,n,MOT,6193360_6194520, ,NA
*OLN,thermometer,d,n,MOT,6216280_6218500, ,NA
*OLN,pants,d,n,MOT,6219250_6221690, ,NA
*OLN,poopy,d,n,MOT,6219250_6221690, ,NA
*CHN,tooth,q,n,MOT,6318210_6319570, ,NA
*FAN,doggy,q,n,MOT,6325310_6327010, ,NA
*FAN,Biscuit,n,n,MOT,6328550_6330180, ,NA
*FAN,doggy,d,y,MOT,6350970_6353120, ,NA
*CXN,doggy,n,y,CHI,6356870_6357670, ,NA
*FAN,doggy,n,y,MOT,6357670_6359580, ,NA
*CHN,bus,d,y,MOT,6359580_6360000, ,NA
*FAN,bus,d,y,MOT,6360180_6361470, ,NA
*FAN,bus,q,y,MOT,6362270_6363350, ,NA
*FAN,bus,q,y,MOT,6365030_6365690, ,NA
*FAN,ear,d,y,MOT,6392330_6396550, ,NA
*FAN,ear,i,y,MOT,6397380_6400810, ,NA
*FAN,ear,d,y,MOT,6397380_6400810, ,NA
*FAN,ear,d,y,MOT,6412950_6416690, ,NA
*FAN,ear,d,y,MOT,6412950_6416690, ,NA
*FAN,hand,i,y,MOT,6417780_6419250, ,NA
*FAN,ear,d,y,MOT,6420630_6421720, ,NA
*FAN,Tylenol,q,n,MOT,6430050_6432160, ,NA
*FAN,Tylenol,d,n,MOT,6441200_6443920, ,NA
*FAN,mouth,q,y,MOT,6447080_6448890, ,NA
*FAN,teethers,q,y,MOT,6449690_6452710, ,NA
*MAN,Cookie+monster,n,n,MOT,6454130_6455270, ,NA
*TVN,Cookie+monster,n,n,MOT,6457240_6458670, ,NA
*FAN,mouth,i,y,MOT,6458670_6461140, ,NA
*FAN,mouth,i,y,MOT,6458670_6461140, ,NA
*FAF,teeth,i,y,MOT,6480090_6480890, ,NA
*FAN,mouth,d,y,MOT,6536530_6540050, ,NA
*FAN,mouth,d,y,MOT,6540730_6543050, ,NA
*FAN,Tylenol,d,n,MOT,6549610_6551100, ,NA
*FAN,poopy+pants,d,n,MOT,6554350_6557700, ,NA
*FAN,poopy+pants,d,n,MOT,6558590_6560180, ,NA
*FAN,poopy+pants,d,n,MOT,6561880_6563380, ,NA
