tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*CHN,dog,n,y,CHI,23011770_23012180, ,NA
*FAF,dog,n,y,MFT,23012370_23013540, ,NA
*FAN,gears,d,n,MOT,23128650_23132030, ,NA
*FAN,water+bottle,d,y,MOT,23223150_23225180, ,NA
*FAN,diapers,d,y,MOT,23230550_23231630, ,NA
*FAN,diaper,d,y,MOT,23234470_23235780, ,NA
*FAN,diapers,d,y,MOT,23241510_23244380, ,NA
*FAN,diaper,d,y,MOT,23241510_23244380, ,NA
*MAN,papers,d,y,FAT,23260320_23261500, ,NA
*FAN,feet,i,n,MOT,23327160_23328270, ,NA
*FAN,feet,i,n,MOT,23327160_23328270, ,NA
*MAN,dog,s,n,FAT,23390650_23392100, ,NA
*FAN,cat,s,n,FAT,23397060_23398550, ,NA
*MAN,cow,s,n,FAT,23401540_23402920, ,NA
*OLF,squirrel,s,n,MOT,23439400_23441500, ,NA
*FAN,squirrel,s,n,MOT,23441500_23445070, ,NA
*FAN,tail,s,n,MFT,23441500_23445070, ,NA
*FAN,squirrel,s,n,MFT,23445870_23450500, ,NA
*FAN,squirrel,s,n,MFT,23445870_23450500, ,NA
*FAN,tail,s,n,MFT,23445870_23450500, ,NA
*CHN,nose,s,n,MFT,23453120_23453810, ,NA
*FAN,nut,s,n,MFT,23453810_23456520, ,NA
*CHN,toes,s,n,MFT,23456520_23457120, ,NA
*FAN,squirrel,s,n,MFT,23457920_23462540, ,NA
*FAN,squirrel,s,n,MFT,23457920_23462540, ,NA
*FAN,tail,s,n,MFT,23457920_23462540, ,NA
*FAN,apple,d,n,MOT,23469990_23470990, ,NA
*FAN,apple,d,n,MOT,23472140_23475970, ,NA
*FAN,apple,d,n,MOT,23482290_23483910, ,NA
*MAN,pumpkin,q,n,FAT,23483910_23485190, ,NA
*SIL,pumpkin,s,n,FAT,23488470_23489970, ,NA
*MAN,pumpkin,s,n,MFT,23489970_23491600, ,NA
*MAN,jack+o+lantern,s,n,MFT,23493740_23495360, ,NA
*MAN,pumpkin,s,n,MFT,23504780_23506480, ,NA
*MAN,pumpkin,s,n,MFT,23504780_23506480, ,NA
*MAN,jack+o+lantern,s,n,MFT,23510070_23511420, ,NA
*MAN,baby+beluga,q,n,FAT,23517670_23519210, ,NA
*MAN,itsy+bitsy+spider,n,n,FAT,23520270_23522620, ,NA
*MAN,itsy+bitsy+spider,s,n,MFT,23525020_23529420, ,NA
*MAN,waterspout,s,n,MFT,23525020_23529420, ,NA
*MAN,rain,s,n,MFT,23530220_23534270, ,NA
*MAN,spider,s,n,MFT,23530220_23534270, ,NA
*FAN,sun,s,n,MFT,23536130_23537000, ,NA
*MAN,itsy+bitsy+spider,s,n,MFT,23540090_23544330, ,NA
*MAN,spout,s,n,MFT,23540090_23544330, ,NA
*FAN,playground,d,n,MOT,23553900_23556060, ,NA
*FAN,shoes,q,n,MOT,23572380_23575730, ,NA
*FAN,socks,q,n,MOT,23572380_23575730, ,NA
*NOF,shoes,n,n,GP2,23578350_23583020, ,NA
*NOF,socks,n,n,GRA,23578350_23583020, ,NA
*FAN,shoes,n,n,MOT,23583020_23584250, ,NA
*FAN,socks,n,n,MOT,23583020_23584250, ,NA
*FAN,shoes,d,n,MOT,23597390_23598550, ,NA
*FAN,socks,d,n,MOT,23597390_23598550, ,NA
*MAN,shoes,q,n,MFT,23644830_23645830, ,NA
*MAN,sweatshirt,q,n,FAT,23651770_23653960, ,NA
*FAF,shoes,d,n,GRA,23665090_23666090, ,NA
*FAN,shoes,d,n,GRA,23666890_23667890, ,NA
*FAN,shoes,n,n,GRA,23672790_23675650, ,NA
*FAN,shoes,n,n,GRA,23672790_23675650, ,NA
*FAN,shoes,n,n,GRA,23672790_23675650, ,NA
*CXN,shoes,n,n,GRA,23680810_23682100, ,NA
*CXN,shoes,n,n,GRA,23680810_23682100, ,NA
*MAN,street,d,n,FAT,24061600_24063320, ,NA
*MAN,sidewalk,d,n,FAT,24061600_24063320, ,NA
*MAN,buckle,n,y,FAT,24137240_24138040, ,NA
*OLN,ball,q,y,FAT,24164710_24165510, ,NA
*CHN,ball,q,n,FAT,24167200_24167420, ,NA
*FAN,buckle,n,y,FAT,24171640_24172240, ,NA
*FAN,stroller,q,y,MOT,24185920_24187530, ,NA
*OLN,sunglasses,n,y,MOT,24211150_24212000, ,NA
*OLN,hat,q,n,MOT,24252520_24254540, ,NA
*FAN,hat,q,n,MOT,24258000_24259000, ,NA
*OLN,hat,q,n,MOT,24259000_24261290, ,NA
*OLF,sunglasses,d,n,MOT,24264290_24266540, ,NA
*MAN,water,q,y,FAT,33030660_33031670, ,NA
*MAN,towel,d,n,FAT,33070860_33071860, ,NA
*FAN,towel,d,n,FAT,33077410_33078590, ,NA
*MAN,towel,n,n,FAT,33080230_33081670, ,NA
*MAN,towel,n,n,FAT,33080230_33081670, ,NA
*CHN,towel,n,n,FAT,33082470_33083850, ,NA
*FAN,cup,d,n,FAT,33089590_33090770, ,NA
*MAN,towel,q,n,FAT,33098400_33099400, ,NA
*FAN,pen,d,y,FAT,33105860_33106480, ,NA
*MAN,pen,d,y,FAT,33108080_33109750, ,NA
*FAN,milk,d,n,MOT,33539550_33544190, ,NA
*FAN,shoes,d,n,MOT,33539550_33544190, ,NA
*MAN,shoes,d,n,FAt,33545250_33548970, ,NA
*MAN,foot,d,n,FAT,33545250_33548970, ,NA
*FAN,milk,d,n,MOT,33549840_33551590, ,NA
*MAN,milk,d,n,MOT,33554630_33555710, ,NA
*FAN,milk,d,n,MOT,33571540_33573480, ,NA
*FAN,milk,d,n,MOT,33575120_33576360, ,NA
*MAN,milk,d,n,MOT,33591840_33592840, ,NA
*CHN,milk,q,n,FAT,33597940_33599220, ,NA
*MAN,nipple,d,n,MOT,33878410_33879800, ,NA
*MAN,drawer,d,y,FAT,34056180_34057180, ,NA
*MAN,bowl,q,y,FAT,34094030_34095180, ,NA
*FAN,drum,q,n,MOT,34101900_34103130, ,NA
*FAN,drum,d,n,MOT,34103950_34111100, ,NA
*FAN,drum,d,n,MOT,34103950_34111100, ,NA
*FAN,run,d,n,MOT,34116010_34117010, ,NA
*FAN,drum,d,n,MOT,34129920_34134370, ,NA
*FAN,drum,d,n,MOT,34129920_34134370, ,NA
*FAN,drum,n,y,MOT,34137040_34138130, ,NA
*FAN,water,d,n,MOT,34183560_34185630, ,NA
