tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,sheep,r,y,MOT,3684620_3686020, ,NA
*FAN,heap,r,y,MOT,3684620_3686020, ,NA
*FAN,jeep,r,y,MOT,3687770_3689390, ,NA
*FAN,cars,r,y,MOT,3716290_3717490, ,NA
*FAN,trucks,r,y,MOT,3716290_3717490, ,NA
*FAN,planes,r,y,MOT,3718290_3720170, ,NA
*FAN,trains,r,y,MOT,3718290_3720170, ,NA
*FAF,skateboard,d,y,MOT,3729600_3730600, ,NA
*FAN,skateboard,n,y,MOT,3731400_3732600, ,NA
*FAN,school+bus,r,y,MOT,3738450_3739550, ,NA
*FAN,flaps,q,y,MOT,3748640_3750990, ,NA
*FAN,ice+cream+truck,d,y,MOT,3748640_3750990, ,NA
*FAN,garbage+truck,d,y,MOT,3751990_3753050, ,NA
*FAN,van,d,y,MOT,3758550_3759550, ,NA
*MAN,helicopter,d,y,MOT,3771120_3772160, ,NA
*FAN,train,d,y,MOT,3779100_3780490, ,NA
*FAN,train,q,y,MOT,3779100_3780490, ,NA
*FAN,car,q,y,MOT,3793920_3795010, ,NA
*FAN,car,q,y,MOT,3797090_3797830, ,NA
*FAN,dump+truck,q,y,MOT,3801330_3803720, ,NA
*FAN,dump+truck,q,y,MOT,3801330_3803720, ,NA
*MAN,police+car,d,y,MOT,3806340_3807340, ,NA
*FAN,fire+truck,n,y,MOT,3812680_3814650, ,NA
*MAN,boats,d,y,MOT,3818960_3819960, ,NA
*FAN,zoo,r,y,MOT,3835150_3836290, ,NA
*FAN,goat,r,y,MOT,3838750_3840110, ,NA
*FAN,seal,r,y,MOT,3843260_3844260, ,NA
*FAN,monkey,q,y,MOT,3847680_3848950, ,NA
*FAN,monkeys,n,y,MOT,3851200_3852290, ,NA
*FAN,lion,q,n,MOT,3857900_3859890, ,NA
*FAN,tiger,q,y,MOT,3857900_3859890, ,NA
*FAN,snake,d,y,MOT,3869180_3870710, ,NA
*FAN,snake,r,y,MOT,3871710_3872310, ,NA
*TVN,froggy,n,y,MOT,3882960_3883960, ,NA
*TVN,froggy,r,y,MOT,3882960_3883960, ,NA
*FAN,birdies,q,y,MOT,3887650_3888670, ,NA
*MAN,lion,q,y,MOT,3893800_3894800, ,NA
*FAN,dolphin,d,y,MOT,3903560_3905400, ,NA
*FAN,birthday+cake,d,y,MOT,3906400_3907980, ,NA
*FAN,alligator,n,y,MOT,3911210_3912740, ,NA
*FAN,flamingo,n,y,MOT,3915830_3916850, ,NA
*FAF,tigers,n,y,MOT,3921660_3923490, ,NA
*FAN,hippos,q,y,MOT,3925770_3927130, ,NA
*FAN,rhinos,n,y,MOT,3928470_3930480, ,NA
*FAF,page,q,y,MOT,3933420_3934420, ,NA
*NOF,couch,d,y,MOT,4021420_4022810, ,NA
*FAN,snake,q,y,MOT,4029360_4031740, ,NA
*FAF,snake,n,y,MOT,4040330_4041040, ,NA
*FAN,tiger,q,y,MOT,4042260_4043620, ,NA
*FAN,tiger,q,y,MOT,4045750_4046760, ,NA
*OLF,book,q,y,MOT,4050140_4050950, ,NA
*FAN,snake,q,y,MOT,4054570_4055590, ,NA
*FAN,monkeys,q,y,MOT,4068300_4069500, ,NA
*FAN,monkeys,q,y,MOT,4070420_4071420, ,NA
*FAN,sea+lion,d,y,MOT,4088100_4091080, ,NA
*FAN,tigers,q,y,MOT,4098250_4099310, ,NA
*FAN,tigers,d,y,MOT,4100240_4101240, ,NA
*FAN,tiger,n,y,MOT,4108880_4110149, ,NA
*FAN,tigers,d,y,MOT,4110950_4112330, ,NA
*FAN,balloons,d,y,MOT,4115170_4116840, ,NA
*FAN,balloon,n,y,MOT,4120479_4121490, ,NA
*FAN,balloon,n,y,MOT,4122450_4123500, ,NA
*FAN,balloons,d,y,MOT,4124380_4125390, ,NA
*OLF,fingernails,d,n,MOT,4135330_4136950, ,NA
*OLN,TV,i,y,MOT,4187870_4190620, ,NA
*FAN,fingernails,i,y,MOT,4190620_4191970, ,NA
*FAN,ball,q,y,MOT,5106190_5108230, ,NA
*FAN,bottom,d,y,MOT,5158740_5159900, ,NA
*FAN,door,i,y,MOT,5424480_5425530, ,NA
*OLN,garbage+truck,n,n,MOT,5466730_5467880, ,NA
*FAN,car,d,y,MOT,5515170_5516360, ,NA
*OLN,diaper,d,n,MOT,5678940_5682310, ,NA
*FAN,diaper,i,y,MOT,5726440_5728720, ,NA
*FAN,sky,s,n,MOT,6189780_6195300, ,NA
*CXN,sky,s,n,MOT,6244860_6245660, ,NA
*CHN,sky,s,n,MOT,6268810_6269080, ,NA
*FAN,chin,q,y,MOT,6466740_6467810, ,NA
*CHN,chin,d,y,MOT,6469830_6470290, ,NA
*FAN,pillow,d,n,MOT,6477620_6478980, ,NA
*FAN,sky,s,n,MOT,6487510_6496900, ,NA
*FAN,knees,s,n,MOT,6557380_6558840, ,NA
*FAN,reindeer,n,y,MOT,6639340_6640390, ,NA
*FAN,reindeer+antlers,q,y,MOT,6644070_6645130, ,NA
*FAN,mirror,i,y,MOT,6647020_6649400, ,NA
*FAN,reindeer+antlers,q,y,MOT,6652130_6655070, ,NA
